,id,opening_hours,city,creation_date,data_id,street,email,phone_number,name,_rid,_self,_etag,_attachments,_ts
73,73,12:00-23:00,San Francisco,8/14/17 15:26,201,Spofford St,state_department_special_to_the_pand_american_congress_at_the_city_of_mexico_(pullman_car_service)@inbox.com,0494-454774,State Department Special To The Pand American Congress At The City Of Mexico (Pullman Car Service),LFZbAOhfMFpKAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpKAAAAAAAAAA==/,"""100089e6-0000-0200-0000-622fb5440000""",attachments/,1647293764
74,74,12:00-23:00,New York,11/9/17 2:46,279,Vesey Pl,blanchs@mail.com,0497-871572,Blanchs,LFZbAOhfMFpLAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpLAAAAAAAAAA==/,"""10008be6-0000-0200-0000-622fb5440000""",attachments/,1647293764
75,75,12:00-23:00,New York,4/28/17 12:25,40,W 98th St,ocean_house@mail.com,0499-857831,Ocean House,LFZbAOhfMFpMAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpMAAAAAAAAAA==/,"""10008de6-0000-0200-0000-622fb5440000""",attachments/,1647293764
76,76,12:00-23:00,San Francisco,7/10/17 7:40,166,Elk St,assembly@gmail.com,0494-892101,Assembly,LFZbAOhfMFpNAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpNAAAAAAAAAA==/,"""100090e6-0000-0200-0000-622fb5440000""",attachments/,1647293764
77,77,12:00-23:00,New York,11/17/17 16:19,285,E 15th St,santa_fe_route_dining_car_service@gmail.com,0494-055669,Santa Fe Route Dining Car Service,LFZbAOhfMFpOAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpOAAAAAAAAAA==/,"""100091e6-0000-0200-0000-622fb5440000""",attachments/,1647293764
78,78,12:00-23:00,New York,2/10/18 9:39,322,W 181st St,chocorua_inn@hotmail.com,0495-270358,Chocorua Inn,LFZbAOhfMFpPAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpPAAAAAAAAAA==/,"""100093e6-0000-0200-0000-622fb5440000""",attachments/,1647293764
79,79,12:00-23:00,New York,9/20/17 23:51,252,E 73rd St,greenhut-siegel_cooper_co@yahoo.com,0495-593848,Greenhut-Siegel Cooper Co.,LFZbAOhfMFpQAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpQAAAAAAAAAA==/,"""100096e6-0000-0200-0000-622fb5450000""",attachments/,1647293765
80,80,12:00-23:00,New York,12/13/17 22:23,299,Clarkson St,simpson_timber@aol.com,0497-506171,Simpson Timber,LFZbAOhfMFpRAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpRAAAAAAAAAA==/,"""100097e6-0000-0200-0000-622fb5450000""",attachments/,1647293765
81,81,12:00-23:00,New York,12/1/18 23:50,396,Pitt St,parisien@aol.com,0494-018538,Parisien,LFZbAOhfMFpSAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpSAAAAAAAAAA==/,"""100098e6-0000-0200-0000-622fb5450000""",attachments/,1647293765
82,82,12:00-23:00,New York,12/27/17 11:42,306,South End Ave,the_florida_brewing_co@outlook.com,0496-784129,The Florida Brewing Co.,LFZbAOhfMFpTAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpTAAAAAAAAAA==/,"""10009ae6-0000-0200-0000-622fb5450000""",attachments/,1647293765
83,83,12:00-23:00,New York,7/26/17 8:51,184,W 102nd St,neuman_&_bogdonoff@gmail.com,0495-494828,Neuman & Bogdonoff,LFZbAOhfMFpUAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpUAAAAAAAAAA==/,"""10009ce6-0000-0200-0000-622fb5450000""",attachments/,1647293765
84,84,12:00-23:00,New York,4/10/17 19:20,12,Fort George Ave,roome_lodge@mail.com,0494-584106,Roome Lodge,LFZbAOhfMFpVAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpVAAAAAAAAAA==/,"""10009ee6-0000-0200-0000-622fb5450000""",attachments/,1647293765
85,85,12:00-23:00,New York,12/1/17 5:56,291,Rockefeller Plaza,hd_bristols_oyster_&_chop_house@outlook.com,0496-661932,H.D. Bristols Oyster & Chop House,LFZbAOhfMFpWAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpWAAAAAAAAAA==/,"""10009fe6-0000-0200-0000-622fb5450000""",attachments/,1647293765
86,86,12:00-23:00,New York,7/17/17 14:10,176,Gramercy Park W,royal_york_hotel@yahoo.com,0499-519605,Royal York Hotel,LFZbAOhfMFpXAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpXAAAAAAAAAA==/,"""1000a1e6-0000-0200-0000-622fb5450000""",attachments/,1647293765
87,87,12:00-23:00,New York,8/29/17 16:07,219,W 37th St,jj_haggartys_mezzanine_tea_room@gmail.com,0496-665065,J.J. Haggartys Mezzanine Tea Room,LFZbAOhfMFpYAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpYAAAAAAAAAA==/,"""1000a2e6-0000-0200-0000-622fb5450000""",attachments/,1647293765
88,88,12:00-23:00,New York,4/4/17 12:46,1,W 168th St,palliser_hotel@aol.com,0494-416309,Palliser Hotel,LFZbAOhfMFpZAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpZAAAAAAAAAA==/,"""1000a3e6-0000-0200-0000-622fb5460000""",attachments/,1647293766
89,89,12:00-23:00,New York,5/17/18 9:52,349,E 36th St,haverford_association_of_new_york@hotmail.com,0494-267012,Haverford Association Of New York,LFZbAOhfMFpaAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpaAAAAAAAAAA==/,"""1000a4e6-0000-0200-0000-622fb5460000""",attachments/,1647293766
90,90,12:00-23:00,New York,4/27/17 10:43,38,3rd Pl,alpha_deuteron_phi_gamma_delta@outlook.com,0494-756169,Alpha Deuteron Phi Gamma Delta,LFZbAOhfMFpbAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpbAAAAAAAAAA==/,"""1000a6e6-0000-0200-0000-622fb5460000""",attachments/,1647293766
91,91,12:00-23:00,New York,4/22/17 19:31,29,W 116th St,national_wholesale__druggists_association@yahoo.com,0494-229559,National Wholesale  Druggists Association,LFZbAOhfMFpcAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpcAAAAAAAAAA==/,"""1000a7e6-0000-0200-0000-622fb5460000""",attachments/,1647293766
92,92,12:00-23:00,New York,11/22/17 23:37,287,Marketfield St,usatlantic_fleet_crews@gmail.com,0497-061282,U.S.Atlantic Fleet Crews,LFZbAOhfMFpdAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpdAAAAAAAAAA==/,"""1000a9e6-0000-0200-0000-622fb5460000""",attachments/,1647293766
93,93,12:00-23:00,New York,8/29/17 22:06,220,W 220th St,steamship_yucatan@inbox.com,0495-294565,Steamship Yucatan,LFZbAOhfMFpeAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpeAAAAAAAAAA==/,"""1000aae6-0000-0200-0000-622fb5460000""",attachments/,1647293766
94,94,12:00-23:00,New York,8/7/17 1:12,191,Pell St,hotel_gloria@inbox.com,0499-713286,Hotel Gloria,LFZbAOhfMFpfAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpfAAAAAAAAAA==/,"""1000ace6-0000-0200-0000-622fb5460000""",attachments/,1647293766
95,95,12:00-23:00,New York,10/1/17 18:57,263,Nathan D Perlman Pl,hotel_chittenden@outlook.com,0494-564699,Hotel Chittenden,LFZbAOhfMFpgAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpgAAAAAAAAAA==/,"""1000aee6-0000-0200-0000-622fb5460000""",attachments/,1647293766
96,96,12:00-23:00,New York,8/30/17 23:45,223,W 124th St,alumni_association_of_public_school_no26@outlook.com,0494-317597,Alumni Association Of Public School No.26,LFZbAOhfMFphAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFphAAAAAAAAAA==/,"""1000afe6-0000-0200-0000-622fb5460000""",attachments/,1647293766
97,97,12:00-23:00,New York,9/2/17 10:04,229,Gramercy Park N,deutsche_gesandtschaft@gmail.com,0494-127280,Deutsche Gesandtschaft,LFZbAOhfMFpiAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpiAAAAAAAAAA==/,"""1000b1e6-0000-0200-0000-622fb5470000""",attachments/,1647293767
98,98,12:00-23:00,New York,9/29/17 2:17,259,W 176th St,chambre_de_commerce_francaise_de_new_york@outlook.com,0498-709834,Chambre De Commerce Francaise De New York,LFZbAOhfMFpjAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpjAAAAAAAAAA==/,"""1000b3e6-0000-0200-0000-622fb5470000""",attachments/,1647293767
99,99,12:00-23:00,San Francisco,5/19/17 7:55,83,Riverside Dr,norge_hotel@hotmail.com,0497-550012,Norge Hotel,LFZbAOhfMFpkAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpkAAAAAAAAAA==/,"""1000b4e6-0000-0200-0000-622fb5470000""",attachments/,1647293767
100,100,12:00-23:00,New York,5/20/17 6:48,86,Stuyvesant St,the_hotel_roosevelt@inbox.com,0497-436123,The Hotel Roosevelt,LFZbAOhfMFplAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFplAAAAAAAAAA==/,"""1000b6e6-0000-0200-0000-622fb5470000""",attachments/,1647293767
101,101,12:00-23:00,San Francisco,3/2/18 2:05,326,Spruce St,patricia_murphys_candlelight_restaurants@gmail.com,0496-780723,Patricia Murphys Candlelight Restaurants,LFZbAOhfMFpmAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpmAAAAAAAAAA==/,"""1000b8e6-0000-0200-0000-622fb5470000""",attachments/,1647293767
102,102,12:00-23:00,New York,8/17/17 21:24,208,W 174th St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0497-231028,Toyo Kisen Kaisha  Hong Kong Maru,LFZbAOhfMFpnAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpnAAAAAAAAAA==/,"""1000bae6-0000-0200-0000-622fb5470000""",attachments/,1647293767
103,103,12:00-23:00,New York,12/28/17 12:42,309,W 154th St,ideal_dining_and_lunch_room@outlook.com,0497-457228,Ideal Dining And Lunch Room,LFZbAOhfMFpoAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpoAAAAAAAAAA==/,"""1000bbe6-0000-0200-0000-622fb5470000""",attachments/,1647293767
104,104,12:00-23:00,New York,6/16/17 13:15,138,3rd Pl,park_lane@aol.com,0498-053394,Park Lane,LFZbAOhfMFppAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFppAAAAAAAAAA==/,"""1000bce6-0000-0200-0000-622fb5470000""",attachments/,1647293767
105,105,12:00-23:00,New York,8/11/17 19:26,198,W 163rd St,spengers_fish_grotto@yahoo.com,0498-676339,Spengers Fish Grotto,LFZbAOhfMFpqAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpqAAAAAAAAAA==/,"""1000bde6-0000-0200-0000-622fb5470000""",attachments/,1647293767
106,106,12:00-23:00,New York,3/7/18 14:57,331,W 154th St,ex_libris@mail.com,0495-086547,Ex Libris,LFZbAOhfMFprAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFprAAAAAAAAAA==/,"""1000bfe6-0000-0200-0000-622fb5470000""",attachments/,1647293767
107,107,12:00-23:00,New York,8/18/17 18:50,210,Renwick St,society_of_medical_jurisprudence@outlook.com,0498-605486,Society Of Medical Jurisprudence,LFZbAOhfMFpsAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpsAAAAAAAAAA==/,"""1000c2e6-0000-0200-0000-622fb5480000""",attachments/,1647293768
108,108,12:00-23:00,New York,11/14/17 18:12,280,W 123rd St,taillevent@outlook.com,0495-037238,Taillevent,LFZbAOhfMFptAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFptAAAAAAAAAA==/,"""1000c4e6-0000-0200-0000-622fb5480000""",attachments/,1647293768
109,109,12:00-23:00,New York,11/16/17 17:32,282,Avenue D,"personal_friends,_business_associates,_and_citizens@aol.com",0497-141419,"Personal Friends, Business Associates, And Citizens",LFZbAOhfMFpuAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpuAAAAAAAAAA==/,"""1000c5e6-0000-0200-0000-622fb5480000""",attachments/,1647293768
110,110,12:00-23:00,San Francisco,6/23/17 7:36,145,Pearl St,cocoanut_grove@inbox.com,0494-400826,Cocoanut Grove,LFZbAOhfMFpvAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpvAAAAAAAAAA==/,"""1000c6e6-0000-0200-0000-622fb5480000""",attachments/,1647293768
111,111,12:00-23:00,New York,6/30/17 11:41,153,Hay Rd,eastern_hotel@gmail.com,0495-942778,Eastern Hotel,LFZbAOhfMFpwAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpwAAAAAAAAAA==/,"""1000c8e6-0000-0200-0000-622fb5480000""",attachments/,1647293768
112,112,12:00-23:00,New York,2/25/19 4:14,416,Hamilton Pl,hotel_cecil@outlook.com,0498-426305,Hotel Cecil,LFZbAOhfMFpxAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpxAAAAAAAAAA==/,"""1000c9e6-0000-0200-0000-622fb5480000""",attachments/,1647293768
113,113,12:00-23:00,New York,8/27/17 2:45,216,59th St Bridge,hotel_pontchartrain@hotmail.com,0499-317476,Hotel Pontchartrain,LFZbAOhfMFpyAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpyAAAAAAAAAA==/,"""1000cae6-0000-0200-0000-622fb5480000""",attachments/,1647293768
114,114,12:00-23:00,New York,11/17/17 8:37,284,Roosevelt Island Bridge,haans@inbox.com,0495-368488,Haans,LFZbAOhfMFpzAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFpzAAAAAAAAAA==/,"""1000cbe6-0000-0200-0000-622fb5480000""",attachments/,1647293768
115,115,12:00-23:00,New York,1/27/18 8:00,315,Penn Plaza,safari_hotel@mail.com,0494-511657,Safari Hotel,LFZbAOhfMFp0AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp0AAAAAAAAAA==/,"""1000cde6-0000-0200-0000-622fb5480000""",attachments/,1647293768
116,116,12:00-23:00,San Francisco,9/7/17 9:47,236,E 9th St,german_savings_bank_of_brooklyn@hotmail.com,0497-307601,German Savings Bank Of Brooklyn,LFZbAOhfMFp1AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp1AAAAAAAAAA==/,"""1000d2e6-0000-0200-0000-622fb5490000""",attachments/,1647293769
117,117,12:00-23:00,New York,5/14/17 1:44,72,W 82nd St,los_angeles_consistory_#3@yahoo.com,0498-321326,Los Angeles Consistory #3,LFZbAOhfMFp2AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp2AAAAAAAAAA==/,"""1000d4e6-0000-0200-0000-622fb5490000""",attachments/,1647293769
118,118,12:00-23:00,New York,9/3/17 21:35,233,Legion Memorial Square,great_northern@inbox.com,0496-703539,Great Northern,LFZbAOhfMFp3AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp3AAAAAAAAAA==/,"""1000d5e6-0000-0200-0000-622fb5490000""",attachments/,1647293769
119,119,12:00-23:00,New York,7/18/17 11:13,177,Minetta St,rotisserie_de_la_table_du_roy_(le_chef_georges)@outlook.com,0497-312894,Rotisserie De La Table Du Roy (Le Chef Georges),LFZbAOhfMFp4AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp4AAAAAAAAAA==/,"""1000d6e6-0000-0200-0000-622fb5490000""",attachments/,1647293769
120,120,12:00-23:00,New York,6/12/17 11:33,124,Baxter St,streets_of_mexico_restaurant@yahoo.com,0495-089881,Streets Of Mexico Restaurant,LFZbAOhfMFp5AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp5AAAAAAAAAA==/,"""1000d8e6-0000-0200-0000-622fb5490000""",attachments/,1647293769
121,121,13:00-23:00,San Francisco,4/20/17 23:22,25,Otis St,berkeley_class_of_91@hotmail.com,0499-030675,Berkeley Class Of 91,LFZbAOhfMFp6AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp6AAAAAAAAAA==/,"""1000dae6-0000-0200-0000-622fb5490000""",attachments/,1647293769
122,122,13:00-23:00,San Francisco,8/8/17 4:18,194,Mizpah St,ristorante_alfredo_alla_scrofa@aol.com,0495-327881,Ristorante Alfredo Alla Scrofa,LFZbAOhfMFp7AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp7AAAAAAAAAA==/,"""1000dce6-0000-0200-0000-622fb5490000""",attachments/,1647293769
123,123,13:00-23:00,San Francisco,4/14/17 14:49,19,French Ct - Golden Gate National Recreation Area,pains_fireworks_co_employees@aol.com,0495-997499,Pains Fireworks Co. Employees,LFZbAOhfMFp8AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp8AAAAAAAAAA==/,"""1000dee6-0000-0200-0000-622fb5490000""",attachments/,1647293769
124,124,13:00-23:00,San Francisco,7/31/18 22:31,368,Sola Ave,mountain_park_hotel@aol.com,0495-322017,Mountain Park Hotel,LFZbAOhfMFp9AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp9AAAAAAAAAA==/,"""1000dfe6-0000-0200-0000-622fb5490000""",attachments/,1647293769
125,125,13:00-23:00,San Francisco,8/13/18 4:14,371,Ruger St - Golden Gate National Recreation Area,hochst@outlook.com,0496-521794,Hochst,LFZbAOhfMFp+AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp+AAAAAAAAAA==/,"""1000e0e6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
126,126,13:00-23:00,San Francisco,7/6/18 0:27,361,Mason Ct,hofbrau_haus@mail.com,0497-964074,Hofbrau Haus,LFZbAOhfMFp-AAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFp-AAAAAAAAAA==/,"""1000e2e6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
127,127,13:00-23:00,San Francisco,8/1/17 5:18,188,Cresta Vista Dr,steinbergs_dairy@hotmail.com,0499-107536,Steinbergs Dairy,LFZbAOhfMFqAAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqAAAAAAAAAAA==/,"""1000e3e6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
128,128,13:00-23:00,San Francisco,8/22/18 9:43,374,Taber Alley,american_chamber_of_commerce_of_paris_commission_for_the_exposiion_of_1900@aol.com,0495-912144,American Chamber Of Commerce Of Paris Commission For The Exposiion Of 1900,LFZbAOhfMFqBAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqBAAAAAAAAAA==/,"""1000e5e6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
129,129,13:00-23:00,San Francisco,5/30/17 9:44,104,Bryant Ln,wells_river_fish_and_game_club@yahoo.com,0498-251750,Wells River Fish And Game Club,LFZbAOhfMFqCAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqCAAAAAAAAAA==/,"""1000e6e6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
130,130,13:00-23:00,San Francisco,8/12/17 17:39,199,Amador St,purcell_house@hotmail.com,0499-685520,Purcell House,LFZbAOhfMFqDAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqDAAAAAAAAAA==/,"""1000e7e6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
131,131,13:00-23:00,San Francisco,5/31/17 22:45,107,Alta St,sangamo_club@inbox.com,0496-311062,Sangamo Club,LFZbAOhfMFqEAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqEAAAAAAAAAA==/,"""1000e9e6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
132,132,13:00-23:00,San Francisco,6/11/17 23:51,122,Park Presidio Blvd,shanes@inbox.com,0495-418146,Shanes,LFZbAOhfMFqFAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqFAAAAAAAAAA==/,"""1000eae6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
133,133,13:00-23:00,San Francisco,9/21/18 17:50,379,Mansell St,keystone_restaurant@hotmail.com,0495-243095,Keystone Restaurant,LFZbAOhfMFqGAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqGAAAAAAAAAA==/,"""1000ede6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
134,134,13:00-23:00,San Francisco,5/14/17 5:46,73,Dodge Pl,hotel_ponce_de_leon@outlook.com,0496-508045,Hotel Ponce De Leon,LFZbAOhfMFqHAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqHAAAAAAAAAA==/,"""1000eee6-0000-0200-0000-622fb54a0000""",attachments/,1647293770
135,135,13:00-23:00,San Francisco,5/11/17 2:35,65,Hwy 82,the_homestead_gwinn@outlook.com,0494-985549,The Homestead Gwinn,LFZbAOhfMFqIAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqIAAAAAAAAAA==/,"""1000f0e6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
136,136,13:00-23:00,San Francisco,10/3/17 11:11,265,Cashmere St,w_atlee_burpee@mail.com,0498-897226,W. Atlee Burpee,LFZbAOhfMFqJAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqJAAAAAAAAAA==/,"""1000f1e6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
137,137,13:00-23:00,San Francisco,9/15/17 13:33,244,Badger St,ss_constitution@aol.com,0496-569278,S.S. Constitution,LFZbAOhfMFqKAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqKAAAAAAAAAA==/,"""1000f3e6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
138,138,13:00-23:00,San Francisco,7/1/17 3:13,154,Spreckels Lake Dr,veteran_association_of_the_5th_ny_artillery_volunteers@mail.com,0494-819100,Veteran Association Of The 5th Ny Artillery Volunteers,LFZbAOhfMFqLAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqLAAAAAAAAAA==/,"""1000f5e6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
139,139,13:00-23:00,San Francisco,4/12/18 6:15,344,Reuel Ct,bangkok_cuisine@hotmail.com,0497-983256,Bangkok Cuisine,LFZbAOhfMFqMAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqMAAAAAAAAAA==/,"""1000f7e6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
140,140,13:00-23:00,New York,6/16/17 1:07,135,Avenue C,joe_coluccis_puccini_restaurant@aol.com,0498-592335,Joe Coluccis Puccini Restaurant,LFZbAOhfMFqNAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqNAAAAAAAAAA==/,"""1000f8e6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
141,141,13:00-23:00,San Francisco,5/17/17 14:28,80,Foote Ave,the_scandia@gmail.com,0494-664925,The Scandia,LFZbAOhfMFqOAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqOAAAAAAAAAA==/,"""1000f9e6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
142,142,13:00-23:00,San Francisco,3/17/19 2:33,421,Juri St,corps_consulaire@aol.com,0498-974115,Corps Consulaire,LFZbAOhfMFqPAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqPAAAAAAAAAA==/,"""1000fae6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
143,143,13:00-23:00,San Francisco,5/9/17 0:23,61,Conservatory Access Rd,"new_hotel_berkeley,the@inbox.com",0498-146795,"New Hotel Berkeley,The",LFZbAOhfMFqQAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqQAAAAAAAAAA==/,"""1000fce6-0000-0200-0000-622fb54b0000""",attachments/,1647293771
144,144,13:00-23:00,San Francisco,5/21/18 4:03,350,Dore St,hotel_colorado@outlook.com,0499-224770,Hotel Colorado,LFZbAOhfMFqRAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqRAAAAAAAAAA==/,"""1000fee6-0000-0200-0000-622fb54c0000""",attachments/,1647293772
145,145,13:00-23:00,San Francisco,5/27/17 9:13,97,Wilde Ave,elka_park_association@outlook.com,0496-577049,Elka Park Association,LFZbAOhfMFqSAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqSAAAAAAAAAA==/,"""100000e7-0000-0200-0000-622fb54c0000""",attachments/,1647293772
146,146,13:00-23:00,San Francisco,5/1/17 20:57,48,Spruce St,wally_j@gmail.com,0498-137288,Wally J,LFZbAOhfMFqTAAAAAAAAAA==,dbs/LFZbAA==/colls/LFZbAOhfMFo=/docs/LFZbAOhfMFqTAAAAAAAAAA==/,"""100001e7-0000-0200-0000-622fb54c0000""",attachments/,1647293772
